"","imdb_score","director_facebook_likes","cast_total_facebook_likes","facenumber_in_poster","gross","budget"
"1",7.9,0,4834,0,760505847,2.37e+08
"2",7.1,563,48350,0,309404152,3e+08
"4",8.5,22000,106759,0,448130642,2.5e+08
"6",6.6,475,1873,1,73058679,263700000
"7",6.2,0,46055,0,336530303,2.58e+08
"8",7.8,15,2036,1,200807262,2.6e+08
"9",7.5,0,92000,4,458991599,2.5e+08
"11",6.9,0,24450,0,330249062,2.5e+08
"12",6.1,0,29991,0,200069408,2.09e+08
"14",7.3,563,48486,2,423032628,2.25e+08
"15",6.5,563,45757,1,89289910,2.15e+08
"16",7.2,0,20495,0,291021565,2.25e+08
"17",6.6,80,22697,4,141614023,2.25e+08
"18",8.1,0,87697,3,623279547,2.2e+08
"19",6.7,252,54083,4,241063875,2.5e+08
"20",6.8,188,12572,1,179020854,2.25e+08
"22",7,464,28489,0,262030663,2.3e+08
"23",6.7,0,3244,0,105219735,2e+08
"24",7.9,0,9152,6,258355354,2.25e+08
"25",6.1,129,24106,2,70083519,1.8e+08
"27",7.7,0,45223,0,658672302,2e+08
"28",8.2,94,64798,0,407197282,2.5e+08
"29",5.9,532,26679,0,65173160,2.09e+08
"30",7,365,8458,0,652177271,1.5e+08
"32",7.3,0,43388,1,373377893,2e+08
"33",7.2,1000,30426,3,408992272,2e+08
"34",6.5,13000,79957,0,334185206,2e+08
"36",7.3,37,14863,0,268488329,2e+08
"37",6,0,3218,0,402076689,2e+08
"38",5.7,0,3988,2,245428137,2.1e+08
"39",6.4,0,73441,4,234903076,2.15e+08
"40",6.7,464,28631,0,202853933,2e+08
"41",6.8,364,25550,0,172051787,1.7e+08
"42",6.3,487,4482,0,191450875,2e+08
"43",5.6,258,17657,2,116593191,2e+08
"44",8.3,125,19085,3,414984497,2e+08
"45",6.6,368,27468,0,125320003,2e+08
"46",7.2,0,79150,0,350034110,1.9e+08
"47",7,395,32392,0,202351611,1.9e+08
"48",8,0,91434,7,233914986,2e+08
"49",7.8,14000,21411,0,228756232,1.9e+08
"50",6.3,0,1766,1,65171860,1.95e+08
"52",6.6,179,16149,2,90755643,2e+08
"53",7,0,19166,0,101785482,1.9e+08
"54",6.3,0,2593,2,352358779,1.95e+08
"55",6.2,14000,14959,2,317011114,1.85e+08
"57",7.2,56,5005,0,237282182,1.85e+08
"58",7.5,681,1327,4,130468626,1.85e+08
"59",8.4,475,2975,0,223806889,1.8e+08
"60",6.2,420,1125,2,140080850,1.4e+08
"61",5.8,776,2144,0,166112167,2e+08
"62",6.8,0,48878,0,137850096,2e+08
"63",5.4,0,47334,1,47375327,1.76e+08
"64",6.6,282,21175,2,124051759,1.8e+08
